osm_id,latitude,longitude,addr:city,addr:country,amenity,conflict_date,conflict_type,name,nearest_conflict_dist_km,osm_id,osm_type,religion,school:CD,source
10277676794,-4.3617648,15.3054572,kinshasa,CD,school,2024-01-03,Strategic development,Ecole Officielle,4.67,10277676794,node,Kinshasa ,primaire,GPS
9977033872,-4.3617574,15.3219286,kinshasa,CD,school,2024-01-03,Strategic development,CS LA TROMPETE,4.83,9977033872,node,Kinshasa ,primaire,GPS
57364518,-4.3612437,15.3197021,kinshasa,CD,school,2024-01-03,Strategic development,École Officielle Mamelo,4.71,57364518,way,Kinshasa ,primaire,GPS
10277676793,-4.3612242,15.3038274,kinshasa,CD,school,2024-01-03,Strategic development,Ecole Officielle,4.63,10277676793,node,Kinshasa ,primaire,GPS
206582660,-4.3611755,15.318802,kinshasa,CD,school,2024-01-03,Strategic development,École Masamba,4.68,206582660,way,Kinshasa ,primaire,GPS
206579125,-4.3608407,15.3199636,kinshasa,CD,school,2024-01-03,Strategic development,Lycée Boyokani,4.67,206579125,way,Kinshasa ,primaire,GPS
217698542,-4.360755,15.3219283,kinshasa,CD,school,2024-01-03,Strategic development,École primaire Yolo,4.72,217698542,way,Kinshasa ,primaire,GPS
206579122,-4.3606434,15.3195144,kinshasa,CD,school,2024-01-03,Strategic development,paroisse Saint Gabriel,4.64,206579122,way,Kinshasa ,primaire,GPS
63954685,-4.3605975,15.3197862,kinshasa,CD,school,2024-01-03,Strategic development,École Catholique,4.64,63954685,way,Kinshasa ,primaire,GPS
206579123,-4.3605636,15.3202265,kinshasa,CD,school,2024-01-03,Strategic development,NA,4.65,206579123,way,Kinshasa ,primaire,GPS
715863893,-4.3605004,15.3014055,kinshasa,CD,school,2024-01-03,Strategic development,École officielle,4.6,715863893,node,Kinshasa ,primaire,GPS
206579124,-4.3604399,15.3197918,kinshasa,CD,school,2024-01-03,Strategic development,Lycée Boyokani,4.63,206579124,way,Kinshasa ,primaire,GPS
742073626,-4.3587759,15.3276715,kinshasa,CD,school,2024-01-03,Strategic development,Collège Saint Amand,4.74,742073626,way,Kinshasa ,primaire,GPS
57738675,-4.3585104,15.2951524,kinshasa,CD,school,2024-01-03,Strategic development,École catholique,4.59,57738675,way,Kinshasa ,primaire,GPS
4469949070,-4.3581576,15.3005393,kinshasa,CD,school,2024-01-03,Strategic development,Collège Saint Pie X,4.37,4469949070,node,Kinshasa ,primaire,GPS
336812196,-4.3578815,15.2995273,kinshasa,CD,school,2024-01-03,Strategic development,Lycée Movenda,4.37,336812196,way,Kinshasa ,primaire,GPS
57363299,-4.3577219,15.3186557,kinshasa,CD,school,2024-01-03,Strategic development,École Protestante,4.3,57363299,way,Kinshasa ,primaire,GPS
2273728699,-4.3566188,15.3091004,kinshasa,CD,school,2024-01-03,Strategic development,Complexe scolaire St Vincent,4.07,2273728699,node,Kinshasa ,primaire,GPS
4483772304,-4.3562828,15.2960158,kinshasa,CD,school,2024-01-03,Strategic development,Collège Petit Prince,4.32,4483772304,node,Kinshasa ,primaire,GPS
450071724,-4.3559922,15.2939907,kinshasa,CD,school,2024-01-03,Strategic development,Collège Abbé Loya,4.38,450071724,way,Kinshasa ,primaire,GPS
8313433041,-4.355751,15.3082325,kinshasa,CD,school,2024-01-03,Strategic development,Complexe Scolaire Chrétien Jacques André Vernaud,3.98,8313433041,node,Kinshasa ,primaire,GPS
335709425,-4.3552449,15.3311304,kinshasa,CD,school,2024-01-03,Strategic development,École George Washington,4.57,335709425,way,Kinshasa ,primaire,GPS
67375763,-4.3548112,15.3216708,kinshasa,CD,school,2024-01-03,Strategic development,NA,4.08,67375763,way,Kinshasa ,primaire,GPS
67375762,-4.3547035,15.3217752,kinshasa,CD,school,2024-01-03,Strategic development,École catholique,4.07,67375762,way,Kinshasa ,primaire,GPS
67375764,-4.3545772,15.3217999,kinshasa,CD,school,2024-01-03,Strategic development,NA,4.06,67375764,way,Kinshasa ,primaire,GPS
5266898490,-4.3540121,15.2878618,kinshasa,CD,school,2024-01-03,Strategic development,Collège Eben Ezer,4.51,5266898490,node,Kinshasa ,primaire,GPS
