name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Institute Georges Simenon,-4.3053231,15.3147319,at-risk,1.71,Strategic development,2024-01-03,440111691
École Presbyterienne,-4.3772481,15.3351266,at-risk,6.95,Strategic development,2024-01-03,712894085
École Massemba,-4.3812127,15.3359821,at-risk,7.39,Strategic development,2024-01-03,713203651
Ecole Maternelle Massamba,-4.3849285,15.3369215,at-risk,7.81,Strategic development,2024-01-03,713306937
École St-Louis,-4.3457112,15.293557,at-risk,3.39,Strategic development,2024-01-03,715858834
École officielle,-4.3475774,15.2929726,at-risk,3.6,Strategic development,2024-01-03,715858837
Institut Diangenda,-4.3531403,15.2903763,at-risk,4.28,Strategic development,2024-01-03,715862489
École officielle,-4.3605004,15.3014055,at-risk,4.6,Strategic development,2024-01-03,715863893
Ecole Technique ITIP Bumbu,-4.3621937,15.2881578,at-risk,5.28,Strategic development,2024-01-03,715863894
École catholique Sainte Christine,-4.3890772,15.3126137,at-risk,7.69,Strategic development,2024-01-03,759214401
Institut Wabakulu,-4.347404,15.2321757,at-risk,9.15,Strategic development,2024-01-03,790833373
École privé,-4.3669125,15.3198048,at-risk,5.33,Strategic development,2024-01-03,813748771
École,-4.3685492,15.318766,at-risk,5.49,Strategic development,2024-01-03,829315038
Ecole primaire Mulwa,-2.5266621,28.8299278,at-risk,3.71,Violence against civilians,2024-01-02,1235015496
Ecole primaire Camp Mweze,-2.5100556,28.8450556,at-risk,1.25,Violence against civilians,2024-01-02,1235015522
Ecole primaire Nyanja,-2.5257778,28.8571111,at-risk,2.97,Violence against civilians,2024-01-02,1235015694
Ecole primaire Ntwali,-2.5122393,28.8478166,at-risk,1.38,Violence against civilians,2024-01-02,1235015951
Ecole primaire Nyakaliba,-2.5183889,28.8458611,at-risk,2.1,Violence against civilians,2024-01-02,1235016322
École Primaire Hodari,-2.5193611,28.8561667,at-risk,2.26,Violence against civilians,2024-01-02,1235016379
Ecole primaire Canya,-2.4701111,28.7752222,at-risk,8.95,Violence against civilians,2024-01-02,1235016658
École primaire Elimu,-2.5210833,28.8588333,at-risk,2.54,Violence against civilians,2024-01-02,1235016730
École Primaire Nidunga,-2.5170556,28.8553333,at-risk,1.99,Violence against civilians,2024-01-02,1235017145
École primaire Ulindi,-2.5117049,28.8482021,at-risk,1.32,Violence against civilians,2024-01-02,1235017167
Ecole primaire Kahuwa,-2.5189722,28.8490278,at-risk,2.11,Violence against civilians,2024-01-02,1235017248
Ecole primaire Cifuma,-2.5108056,28.7711944,at-risk,8.84,Violence against civilians,2024-01-02,1235017377
Ecole primaire Furaha,-2.5163333,28.8436389,at-risk,1.95,Violence against civilians,2024-01-02,1235017396
Ecole primaire Tuendelee,-2.5274167,28.8572778,at-risk,3.15,Violence against civilians,2024-01-02,1235017581
École Primaire Nguba,-2.4989352,28.8875337,at-risk,4.17,Violence against civilians,2024-01-02,1235017597
Bwindi,-2.4757041,28.8379998,at-risk,3.01,Violence against civilians,2024-01-02,1235017763
Primary School Myange,-2.5800707,28.881815,at-risk,9.58,Violence against civilians,2024-01-02,1356428105
Institut Dominique Ileo,-4.3425168,15.2636659,at-risk,5.72,Strategic development,2024-01-03,1640267112
Ecole primaire de Kintambo 1,-4.3404896,15.2626111,at-risk,5.73,Strategic development,2024-01-03,1640305538
Collège Alingwa,-4.3492863,15.2678971,at-risk,5.69,Strategic development,2024-01-03,2162744660
Complexe scolaire St Vincent,-4.3566188,15.3091004,at-risk,4.07,Strategic development,2024-01-03,2273728699
Collège Saint Michel,-4.3398453,15.2772631,at-risk,4.25,Strategic development,2024-01-03,2299738119
Ecole Publique Saint Jean Baptiste,-4.3406895,15.2757864,at-risk,4.44,Strategic development,2024-01-03,2299738122
Institut Salongo,-4.3457856,15.2785116,at-risk,4.52,Strategic development,2024-01-03,2299738130
EP1 Ngoma,-4.3458101,15.2776009,at-risk,4.6,Strategic development,2024-01-03,2299738135
Unnamed School,-4.3416957,15.2772237,at-risk,4.36,Strategic development,2024-01-03,2299738186
Collège saint charles luanga,-4.3151921,15.3263021,at-risk,1.88,Strategic development,2024-01-03,2953314337
Collège Les Saphirs,-4.3084113,15.2916664,at-risk,2.41,Strategic development,2024-01-03,3477493250
Joyeux Lutins,-4.3509125,15.2841388,at-risk,4.48,Strategic development,2024-01-03,4235751684
Maï-ndombe,-4.3826829,15.3500204,at-risk,8.26,Strategic development,2024-01-03,4328067009
Collège Saint Pie X,-4.3581576,15.3005393,at-risk,4.37,Strategic development,2024-01-03,4469949070
Collège Petit Prince,-4.3562828,15.2960158,at-risk,4.32,Strategic development,2024-01-03,4483772304
ITFM: Institut Technique Fundi Maendeleo,-2.5063935,28.845158,at-risk,0.89,Violence against civilians,2024-01-02,4587841796
Ecole Bahumbu,-4.3763274,15.3719,at-risk,9.29,Strategic development,2024-01-03,4650134578
École portuguaise,-4.3087366,15.3178623,at-risk,1.53,Strategic development,2024-01-03,4866013704
Collège Saint Joseph,-4.3004859,15.3160161,at-risk,2.27,Strategic development,2024-01-03,4945976043
Institut Fadhili,-2.5188995,28.8494808,at-risk,2.1,Violence against civilians,2024-01-02,4950829794
Ecole Mpieko,-4.3447082,15.2743345,at-risk,4.82,Strategic development,2024-01-03,5109221813
EP1 et 2 Bandal Saint Cassien,-4.3533007,15.2853084,at-risk,4.61,Strategic development,2024-01-03,5163173199
Institut Ebenga,-4.3911919,15.3217412,at-risk,8.02,Strategic development,2024-01-03,5168100762
Ecole CBCO,-4.3444428,15.2763632,at-risk,4.61,Strategic development,2024-01-03,5176715275
Académie des Sciences et des Technologies,-4.3991291,15.2682924,at-risk,9.94,Strategic development,2024-01-03,5178480944
Ecole Madame de Sévigné Secondaire,-4.3424186,15.2825918,at-risk,3.93,Strategic development,2024-01-03,5182837553
