name,latitude,longitude,location_name,type,source,distance_to_nearest_conflict_km,risk_status
Institute Georges Simenon,-4.3053231,15.3147319,,School,DRC_All_SCHool_Local,0.0,at-risk
Lycée catholique,2.7952524,24.7376833,,School,DRC_All_SCHool_Local,0.7156301203551263,at-risk
École Presbyterienne,-4.3772481,15.3351266,,School,DRC_All_SCHool_Local,2.214086992547101,at-risk
École Massemba,-4.3812127,15.3359821,,School,DRC_All_SCHool_Local,2.6595703594322155,at-risk
Ecole Maternelle Massamba,-4.3849285,15.3369215,,School,DRC_All_SCHool_Local,3.066198480016017,at-risk
École St-Louis,-4.3457112,15.293557,,School,DRC_All_SCHool_Local,0.0,at-risk
École officielle,-4.3475774,15.2929726,,School,DRC_All_SCHool_Local,0.0,at-risk
Institut Diangenda,-4.3531403,15.2903763,Kinshasa,School,DRC_All_SCHool_Local,0.0,at-risk
École officielle,-4.3605004,15.3014055,,School,DRC_All_SCHool_Local,0.0,at-risk
Ecole Technique ITIP Bumbu,-4.3621937,15.2881578,Saïo,School,DRC_All_SCHool_Local,0.8770194487816891,at-risk
École catholique Sainte Christine,-4.3890772,15.3126137,,School,DRC_All_SCHool_Local,3.138937638309173,at-risk
Institut Wabakulu,-4.347404,15.2321757,,School,DRC_All_SCHool_Local,4.508126957389783,at-risk
Centre Scolare Pingu II,-4.4298913,15.3716211,,School,DRC_All_SCHool_Local,0.5240565364374172,at-risk
École,-4.4316456,15.3672222,,School,DRC_All_SCHool_Local,1.0098261828021067,at-risk
École,-4.4319023,15.3678874,,School,DRC_All_SCHool_Local,0.9711067048871689,at-risk
Complexe scolaire Mère Theresa Tito,-4.4330361,15.3664712,,School,DRC_All_SCHool_Local,1.1722676239859626,at-risk
Complexe scolaire Bualu,-4.4351755,15.3663457,,School,DRC_All_SCHool_Local,1.3497993896746652,at-risk
École privé,-4.3669125,15.3198048,,School,DRC_All_SCHool_Local,0.6197006307025195,at-risk
Institut Kisantu,-4.4202186,15.3915973,,School,DRC_All_SCHool_Local,2.0113868799642023,at-risk
École Toco 2,-4.4197512,15.3904829,,School,DRC_All_SCHool_Local,1.9135980557458439,at-risk
