name,latitude,longitude,location_name,type,source,distance_to_nearest_conflict_km,risk_status
Materdei,-4.4690518,15.2243459,,School,DRC_All_SCHool_Local,14.448879509480703,safe
Institut de Kinkole,-4.3216269,15.5163084,,School,DRC_All_SCHool_Local,18.544069357595035,safe
Petit séminaire Sainte Thérèse,3.1832605,27.8657858,,School,DRC_All_SCHool_Local,14.533808195446273,safe
École Catholique,-4.3224534,15.5169931,,School,DRC_All_SCHool_Local,18.61067726789791,safe
Ecole primaire Kamakanga,-11.8230278,27.5875278,,School,DRC_All_SCHool_Local,21.622896347983463,safe
École primaire Tumbwe,-11.4733056,27.3861389,,School,DRC_All_SCHool_Local,22.913793204802037,safe
École primaire Fikupa,-11.949,27.5284444,,School,DRC_All_SCHool_Local,32.10599304823237,safe
Ecole primaire Lumiere Du Christ,-10.7866111,25.6186111,,School,DRC_All_SCHool_Local,18.330548890676116,safe
École primaire Lumière Du Christ 6,-10.8508759,25.4513542,,School,DRC_All_SCHool_Local,15.016792272450935,safe
École primaire Mukoma,-11.6504722,27.3256389,,School,DRC_All_SCHool_Local,15.463297614097305,safe
Ecole primaire Lumiere Du Christ 1,-10.96225,25.4619722,,School,DRC_All_SCHool_Local,27.312396655634636,safe
Ecole primaire Butungwa,-11.7590278,27.5639444,,School,DRC_All_SCHool_Local,14.753109262606445,safe
École primaire Shibukeni,-11.7395237,27.5639854,,School,DRC_All_SCHool_Local,13.338431607424289,safe
Ecole primaire Lwafu,-10.94325,26.9581944,,School,DRC_All_SCHool_Local,24.910834400325403,safe
École primaire Mikombo,-11.84875,27.5606111,,School,DRC_All_SCHool_Local,22.683012325034493,safe
Ecole primaire Luboto 2,-12.2509722,27.6428611,,School,DRC_All_SCHool_Local,22.388596511790162,safe
École primaire Dilungu,-10.656,25.7036667,,School,DRC_All_SCHool_Local,26.76033884034744,safe
Ecole primaire Uhuru,-10.7745,25.54625,,School,DRC_All_SCHool_Local,10.813922141602681,safe
Ecole primaire Kipopo,-11.5484167,27.3265556,,School,DRC_All_SCHool_Local,20.144266477311582,safe
Ecole primaire Lubusha,-11.1806389,27.0126667,,School,DRC_All_SCHool_Local,37.682687646454575,safe
École primaire Luboto 1,-12.0821111,27.5125556,,School,DRC_All_SCHool_Local,31.270213561683136,safe
Ecole primaire Imani,-10.7793056,25.7076667,,School,DRC_All_SCHool_Local,27.23356147808194,safe
Ecole primaire Mwana Kulema,-11.0445278,26.9541389,,School,DRC_All_SCHool_Local,25.102123194508327,safe
Ecole primaire Kazembe,-10.7249444,25.5620556,,School,DRC_All_SCHool_Local,10.46215598913262,safe
Ecole primaire Katanga,-11.1247778,27.1006111,,School,DRC_All_SCHool_Local,43.136657379376686,safe
École primaire Mushima 1,-11.1600556,25.4511944,,School,DRC_All_SCHool_Local,49.33149239068946,safe
Ecole primaire Kinandu,-11.7624722,27.361,,School,DRC_All_SCHool_Local,13.9055433823971,safe
Ecole primaire Maranatha,-11.7370278,27.5639444,,School,DRC_All_SCHool_Local,13.16816152343803,safe
Ecole primaire Mwongo,-10.7811111,25.7453611,,School,DRC_All_SCHool_Local,31.27756030779971,safe
Ecole primaire Songa Songa,-10.94325,26.9599167,,School,DRC_All_SCHool_Local,25.096126610873057,safe
Ecole primaire Lua Bolo,3.7771667,19.055,,School,DRC_All_SCHool_Local,42.0722983723475,safe
Ecole primaire Mole,4.3442222,18.7921944,,School,DRC_All_SCHool_Local,21.31924336295644,safe
Ecole primaire Ngombe Poswa,3.7206667,18.7736111,,School,DRC_All_SCHool_Local,16.27352278805923,safe
