name,latitude,longitude,location_name,type,source
Materdei,-4.4690518,15.2243459,,School,DRC_All_SCHool_Local
Institute Georges Simenon,-4.3053231,15.3147319,,School,DRC_All_SCHool_Local
Institut de Kinkole,-4.3216269,15.5163084,,School,DRC_All_SCHool_Local
Lycée catholique,2.7952524,24.7376833,,School,DRC_All_SCHool_Local
Petit séminaire Sainte Thérèse,3.1832605,27.8657858,,School,DRC_All_SCHool_Local
École Presbyterienne,-4.3772481,15.3351266,,School,DRC_All_SCHool_Local
École Massemba,-4.3812127,15.3359821,,School,DRC_All_SCHool_Local
Ecole Maternelle Massamba,-4.3849285,15.3369215,,School,DRC_All_SCHool_Local
École St-Louis,-4.3457112,15.293557,,School,DRC_All_SCHool_Local
École officielle,-4.3475774,15.2929726,,School,DRC_All_SCHool_Local
Institut Diangenda,-4.3531403,15.2903763,Kinshasa,School,DRC_All_SCHool_Local
École officielle,-4.3605004,15.3014055,,School,DRC_All_SCHool_Local
Ecole Technique ITIP Bumbu,-4.3621937,15.2881578,Saïo,School,DRC_All_SCHool_Local
École catholique Sainte Christine,-4.3890772,15.3126137,,School,DRC_All_SCHool_Local
École Catholique,-4.3224534,15.5169931,,School,DRC_All_SCHool_Local
Institut Wabakulu,-4.347404,15.2321757,,School,DRC_All_SCHool_Local
Centre Scolare Pingu II,-4.4298913,15.3716211,,School,DRC_All_SCHool_Local
École,-4.4316456,15.3672222,,School,DRC_All_SCHool_Local
École,-4.4319023,15.3678874,,School,DRC_All_SCHool_Local
Complexe scolaire Mère Theresa Tito,-4.4330361,15.3664712,,School,DRC_All_SCHool_Local
Complexe scolaire Bualu,-4.4351755,15.3663457,,School,DRC_All_SCHool_Local
École privé,-4.3669125,15.3198048,,School,DRC_All_SCHool_Local
Institut Kisantu,-4.4202186,15.3915973,,School,DRC_All_SCHool_Local
École Toco 2,-4.4197512,15.3904829,,School,DRC_All_SCHool_Local
École,-4.3685492,15.318766,,School,DRC_All_SCHool_Local
Collège Saint-Louis,-5.8878442,22.4486644,,School,DRC_All_SCHool_Local
Athénée,-5.8910786,22.4171816,,School,DRC_All_SCHool_Local
École ITP Passio,-4.4046477,15.4070665,,School,DRC_All_SCHool_Local
Ecole Primaire Biyela,-4.4189146,15.3926001,,School,DRC_All_SCHool_Local
Lycée Bankazi,-5.2516333,14.8625144,,School,DRC_All_SCHool_Local
École primaire Luzolo,-5.2557255,14.855603,,School,DRC_All_SCHool_Local
LycéE Kivuvu,-5.258717,14.8593796,,School,DRC_All_SCHool_Local
ITC BADIKA,-5.2551534,14.8640079,Mbanza-Ngungu,School,DRC_All_SCHool_Local
École primaire Kivuvu,-5.2572415,14.8588099,,School,DRC_All_SCHool_Local
Collège Wando,3.5995384,28.5749679,,School,DRC_All_SCHool_Local
Ecole primaire Mapatano II,-11.6994167,27.4848056,,School,DRC_All_SCHool_Local
Ecole primaire Kamakanga,-11.8230278,27.5875278,,School,DRC_All_SCHool_Local
Ecole primaire Matayarisho 3,-10.9740833,26.7079167,,School,DRC_All_SCHool_Local
Ecole primaire Mumea,-10.9625556,26.7234444,,School,DRC_All_SCHool_Local
