osm_id,osm_type,latitude,longitude,FIXME,addr:city,addr:commune,addr:country,addr:county,addr:district,addr:full,addr:housename,addr:housenumber,addr:locality,addr:municipality,addr:parish,addr:postcode,addr:province,addr:quarter,addr:street,addr:subcounty,addr:subdistrict,addr:suburb,addr:village,addr:ward,alt_name,amenity,area,attribution,barrier,building,building:condition,building:floor,building:levels,building:material,building:min_level,cables,check:date,check_date,comment,contact:email,contact:facebook,contact:phone,contact:twitter,contact:website,date,denomination,description,education,email,fixme,frequency,grades,health_facility:CD,healthcare,height,id:uuid,is_in,is_in:admin_level4,is_in:admin_level6,is_in:admin_level7,is_in:admin_level8,is_in:educ_level6,is_in:health_level10,is_in:health_level6,is_in:health_level8,is_in:province,is_in:village,isced,isced:level,landuse,man_made,max_age,min_age,name,name:de,name:en,name:fr,name:hu,name:ln,note,note:de,office,official_name,old_name,opening_hours,operator,operator:type,osm_id,osm_type,phone,project:oif-dfen_carteinnov,religion,school,school:CD,school:boarding,school:gender,short_name,source,source:alt_name,source:date,source:geometry,source:geometry:date,source:name,source:outline,source:position,source:ref,source_date,source_ref,start_date,strapline,surface,survey,survey:date,survey_date,toilets,type,vaccination,wall,website,wheelchair,wikidata,wikimedia_commons,wikipedia
435579834,node,-4.4690518,15.2243459,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materdei,,,,,,,Mission und Schule,,,,,,,435579834,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440111691,node,-4.3053231,15.3147319,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,2023-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Institute Georges Simenon,,,,,,,,,,,,,,440111691,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583344995,node,-4.3216269,15.5163084,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Institut de Kinkole,,,,,,,,,,,,,,583344995,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655933898,node,2.7952524,24.7376833,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lycée catholique,,,,,,,,,,,,Église Catholique,,655933898,node,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708413265,node,3.1832605,27.8657858,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,Rungu,,,,,,,,,,,,,,,,,Petit séminaire Sainte Thérèse,,,,,,approximative,,,,,,Diocese of Isiro-Ningara,,708413265,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712894085,node,-4.3772481,15.3351266,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École Presbyterienne,,,,,,,,,,,,,,712894085,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713203651,node,-4.3812127,15.3359821,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École Massemba,,,,,,,,,,,,,,713203651,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713306937,node,-4.3849285,15.3369215,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole Maternelle Massamba,,,,,,,,,,,,,,713306937,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715858834,node,-4.3457112,15.293557,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École St-Louis,,,,,,,,,,,,,,715858834,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715858837,node,-4.3475774,15.2929726,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École officielle,,,,,,,,,,,,,,715858837,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715862489,node,-4.3531403,15.2903763,,Kinshasa,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Institut Diangenda,,,,,,,,,,,,,,715862489,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715863893,node,-4.3605004,15.3014055,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École officielle,,,,,,,,,,,,,,715863893,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
